Ticker,Quarter,Revenue,Net_Income,Cash_Reserves,Employee_Count,Profit_margin,Revenue_growth
002273.SZ,2024-12-31,1567963653.3,168310917.68,2061991141.69,8721.0,0.10734363473653616,
002273.SZ,2025-03-31,1482423331.04,220855927.31,1458024453.1,8721.0,0.1489830352002472,-0.05455504155339852
002273.SZ,2025-06-30,1538036446.03,279822685.77,1254594152.43,8721.0,0.18193501622948013,0.03751500251347539
002273.SZ,2025-12-31,1805285707.25,189110249.16,1330422216.08,8721.0,0.10475364004740972,0.17376003144127528
002273.SZ,2026-03-31,1720743708.12,246676113.11,1275932311.82,8721.0,0.1433543600630138,-0.04683026004719404
005930.KS,2024-09-30,,,,,,
005930.KS,2025-03-31,79140503000000.0,8028407000000.0,53161004000000.0,,0.10144498323443812,
005930.KS,2025-06-30,74566317000000.0,4934034000000.0,47120025000000.0,,0.06616974256620452,-0.05779829324562169
005930.KS,2025-09-30,86061747000000.0,12006461000000.0,53399483000000.0,,0.13950984518127432,0.15416384317331921
005930.KS,2025-12-31,93837371000000.0,19292054000000.0,57856378000000.0,,0.20559030793818808,0.09034936276624728
005930.KS,2026-03-31,133873444000000.0,47101190000000.0,73306751000000.0,,0.351833706466833,0.4266538221749627
1465.TW,2024-12-31,121734000.0,23707000.0,163451000.0,161.0,0.19474427850888001,
1465.TW,2025-03-31,83854000.0,34927000.0,171268000.0,161.0,0.4165215732105803,-0.311170256460808
1465.TW,2025-06-30,106141000.0,-109595000.0,60582000.0,161.0,-1.0325416191669572,0.265783385407971
1465.TW,2025-09-30,88430000.0,21330000.0,285168000.0,161.0,0.24120773493158432,-0.16686294645801336
1465.TW,2025-12-31,79210000.0,19603000.0,293336000.0,161.0,0.2474813786138114,-0.10426325907497458
300020.SZ,2025-12-31,43886959.57,-1245751535.1,230711578.21,300.0,-28.385459993258767,
300020.SZ,2026-03-31,51329213.67,-71139528.89,229938972.56,300.0,-1.385946204969401,0.16957780108074139
6RR.F,2024-09-30,,,,3140.0,,
6RR.F,2024-12-31,,,,3140.0,,
